bisai_id,cold,win,draw,lose,big_cold_peilv,normal_peilv,little_cold_peilv
880528,normal,1.62,5.08,9.49,9.49,1.62,5.08
881051,normal,2.2,3.6,3.75,3.75,2.2,3.6
878984,normal,2.76,3.6,2.72,3.6,2.72,2.76
882579,normal,1.9,3.86,4.83,4.83,1.9,3.86
882580,normal,1.85,4.0,4.8,4.8,1.85,4.0
876653,normal,1.95,3.95,5.3,5.3,1.95,3.95
904851,little_cold,2.38,3.3,4.0,4.0,2.38,3.3
927001,normal,16.25,7.5,1.26,16.25,1.26,7.5
904835,big_cold,3.4,3.2,2.61,3.4,2.61,3.2
923298,normal,1.17,9.0,39.0,39.0,1.17,9.0
904828,normal,2.65,3.2,3.22,3.22,2.65,3.2
881050,normal,3.1,3.42,3.04,3.42,3.04,3.1
882583,normal,2.38,3.57,3.62,3.62,2.38,3.57
904865,normal,1.83,3.55,6.55,6.55,1.83,3.55
880543,normal,2.8,3.5,2.95,3.5,2.8,2.95
904803,normal,1.75,4.0,8.0,8.0,1.75,4.0
927025,normal,1.85,4.0,6.4,6.4,1.85,4.0
923305,normal,4.86,3.6,1.91,4.86,1.91,3.6
904826,big_cold,2.43,3.4,3.75,3.75,2.43,3.4
904064,normal,2.12,3.45,5.42,5.42,2.12,3.45
904847,normal,2.7,3.1,3.42,3.42,2.7,3.1
904840,normal,2.3,3.4,3.86,3.86,2.3,3.4
904871,little_cold,2.55,3.5,4.0,4.0,2.55,3.5
877052,little_cold,5.4,3.82,2.25,5.4,2.25,3.82
881041,little_cold,4.65,3.6,3.2,4.65,3.2,3.6
882584,normal,1.76,4.1,6.0,6.0,1.76,4.1
940177,normal,1.67,5.0,6.18,6.18,1.67,5.0
940186,normal,1.5,6.5,23.0,23.0,1.5,6.5
935783,normal,3.64,4.26,2.27,4.26,2.27,3.64
935988,big_cold,2.84,3.6,3.98,3.98,2.84,3.6
938092,normal,1.4,11.75,29.0,29.0,1.4,11.75
935809,normal,11.5,6.2,1.38,11.5,1.38,6.2
939835,little_cold,2.9,3.5,3.6,3.6,2.9,3.5
935986,big_cold,3.42,3.38,2.7,3.42,2.7,3.38
939542,normal,1.45,6.0,12.0,12.0,1.45,6.0
933578,normal,3.32,3.5,2.9,3.5,2.9,3.32
937055,normal,1.92,4.35,6.0,6.0,1.92,4.35
937058,normal,2.85,3.83,6.25,6.25,2.85,3.83
931399,big_cold,2.34,4.0,3.15,4.0,2.34,3.15
939543,normal,1.45,5.7,13.0,13.0,1.45,5.7
940184,big_cold,2.22,4.15,4.2,4.2,2.22,4.15
937889,normal,1.18,8.45,21.0,21.0,1.18,8.45
939832,big_cold,2.75,3.85,3.03,3.85,2.75,3.03
937062,big_cold,3.4,3.8,3.8,3.8,3.4,3.8
938090,normal,2.51,3.51,4.37,4.37,2.51,3.51
935985,big_cold,2.74,3.3,3.94,3.94,2.74,3.3
937056,normal,1.41,6.5,17.0,17.0,1.41,6.5
940386,normal,4.56,3.85,2.3,4.56,2.3,3.85
938101,little_cold,1.78,7.6,16.0,16.0,1.78,7.6
937048,normal,5.0,3.75,3.2,5.0,3.2,3.75
933629,normal,1.5,6.0,7.5,7.5,1.5,6.0
937063,normal,2.02,3.8,5.6,5.6,2.02,3.8
938682,big_cold,3.36,3.35,3.1,3.36,3.1,3.35
935623,big_cold,2.65,3.5,2.75,3.5,2.65,2.75
937052,normal,1.7,4.7,8.0,8.0,1.7,4.7
938105,normal,1.33,6.5,14.5,14.5,1.33,6.5
938098,normal,1.87,6.5,12.0,12.0,1.87,6.5
939833,normal,5.0,4.3,2.15,5.0,2.15,4.3
938103,big_cold,7.0,3.9,2.57,7.0,2.57,3.9
940387,normal,2.15,3.7,4.2,4.2,2.15,3.7
938647,little_cold,2.29,3.5,4.2,4.2,2.29,3.5
935987,normal,1.36,7.8,21.0,21.0,1.36,7.8
937054,little_cold,3.2,3.65,3.8,3.8,3.2,3.65
878729,normal,2.38,3.85,3.6,3.85,2.38,3.6
885830,normal,1.32,6.75,16.11,16.11,1.32,6.75
859464,little_cold,1.8,3.85,7.1,7.1,1.8,3.85
856898,normal,3.9,3.5,2.79,3.9,2.79,3.5
889230,normal,1.94,3.85,5.5,5.5,1.94,3.85
892873,normal,1.95,3.8,6.91,6.91,1.95,3.8
881420,normal,1.25,7.15,17.0,17.0,1.25,7.15
876966,little_cold,1.41,6.0,13.5,13.5,1.41,6.0
876472,big_cold,4.77,3.8,2.0,4.77,2.0,3.8
856281,normal,3.0,3.6,3.07,3.6,3.0,3.07
847634,normal,2.5,3.55,3.8,3.8,2.5,3.55
883743,little_cold,2.12,3.3,4.25,4.25,2.12,3.3
905759,normal,1.5,5.17,11.13,11.13,1.5,5.17
876772,big_cold,6.0,4.3,2.15,6.0,2.15,4.3
846982,normal,3.42,3.7,2.75,3.7,2.75,3.42
878730,little_cold,1.43,6.0,9.77,9.77,1.43,6.0
884385,little_cold,2.23,3.6,4.35,4.35,2.23,3.6
883759,big_cold,2.75,3.3,2.95,3.3,2.75,2.95
905995,normal,2.51,3.4,4.6,4.6,2.51,3.4
896860,normal,2.6,3.5,3.23,3.5,2.6,3.23
879983,normal,6.53,4.44,1.65,6.53,1.65,4.44
878633,normal,2.37,3.65,4.75,4.75,2.37,3.65
851213,normal,2.52,3.25,3.2,3.25,2.52,3.2
884998,big_cold,2.82,3.65,2.95,3.65,2.82,2.95
887623,big_cold,1.86,3.93,5.0,5.0,1.86,3.93
905204,little_cold,2.93,3.1,3.19,3.19,2.93,3.1
856901,big_cold,1.95,3.8,5.3,5.3,1.95,3.8
896863,normal,2.45,3.8,4.35,4.35,2.45,3.8
876769,normal,1.6,4.86,8.25,8.25,1.6,4.86
905170,normal,1.95,3.64,5.0,5.0,1.95,3.64
850246,normal,2.02,3.8,5.5,5.5,2.02,3.8
895769,big_cold,2.5,3.35,3.78,3.78,2.5,3.35
905999,little_cold,3.1,3.14,3.22,3.22,3.1,3.14
876963,little_cold,2.44,3.65,5.2,5.2,2.44,3.65
883731,big_cold,1.5,4.75,11.0,11.0,1.5,4.75
888947,normal,2.27,3.6,3.6,3.6,2.27,3.6
896864,normal,12.12,5.7,1.5,12.12,1.5,5.7
896861,little_cold,2.12,4.2,7.1,7.1,2.12,4.2
895468,normal,1.22,7.5,23.0,23.0,1.22,7.5
878728,normal,2.6,3.85,3.4,3.85,2.6,3.4
856897,little_cold,3.0,3.5,3.04,3.5,3.0,3.04
855391,big_cold,1.59,4.5,6.5,6.5,1.59,4.5
879879,normal,5.65,3.75,3.82,5.65,3.75,3.82
895771,little_cold,3.09,3.1,2.85,3.1,2.85,3.09
